@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,6,12'

@attribute ratio numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.0114,64.577225,G4
0.011556,66.82843,G4
0.017567,16.852362,G4
0.011834,65.615578,G4
0.011023,64.435852,G4
0.017425,16.912418,G4
0.011751,64.698387,G4
0.015008,36.208942,G5
0.014457,36.89492,G5
0.014868,36.415234,G5
0.013079,16.216082,G5
0.015642,36.463387,G5
0.014786,37.810131,G5
0.01504,36.321648,G5
0.02011,24.371956,G5
0.02342,27.792711,G5
0.015389,14.700775,G5
0.015161,17.659349,G6
0.013325,19.670391,G6
0.013629,19.213182,G6
0.014153,18.47349,G6
0.014974,17.66643,G6
0.014878,17.778664,G6
0.014263,18.257576,G6
0.01452,18.060453,G6
0.014403,18.270853,G6
0.015611,18.136511,G6
0.011984,32.165939,G7
0.011156,72.363976,G7
0.010727,72.157265,G7
0.011904,37.974739,G7
0.011072,34.760662,G7
0.011558,31.771627,G7
0.010878,62.205849,G7
0.010501,63.946724,G7
0.010635,61.445362,G7
0.011445,32.17403,G7
0.012229,22.847958,G8
0.011917,23.77964,G8
0.011702,23.986782,G8
0.011597,24.346552,G8
0.010948,25.855455,G8
0.01127,25.085857,G8
0.011619,24.079029,G8
0.011397,24.72452,G8
0.011659,24.11879,G8
0.015045,38.858223,G8
0.011028,7.614478,G9
0.009949,8.807951,G9
0.010189,8.681292,G9
0.011212,6.667328,G9
0.010182,8.828945,G9
0.009492,9.387129,G9
0.009211,10.185197,G9
0.010216,8.834447,G9
0.010888,7.174205,G9
0.010339,8.426088,G9
0.018991,35.591549,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.011154,24.088034,G0
0.01162,23.128529,G0
0.011376,23.32196,G0
0.016074,34.513943,G0
0.011033,23.88064,G0
0.01112,24.340282,G0
0.011141,24.066637,G0
0.016025,35.845936,G0
0.01572,35.715801,G0
0.010908,24.617819,G0
0.036082,52.631523,G2
0,0,G2
0,0,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
0.017628,33.151272,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.027495,10.288001,G4
0.012179,57.404831,G4
0.023979,12.263541,G4
0.012371,55.730202,G4
0.011632,58.169212,G4
0.011963,52.200359,G4
0.012571,52.062038,G4
0.022713,61.852562,G4
0.012888,51.770668,G4
0.034152,63.384914,G4
0.02039,26.076427,G5
0.019394,27.277973,G5
0.019014,27.534216,G5
0.019206,27.582676,G5
0.019641,26.975546,G5
0.020034,26.07238,G5
0.018406,28.225647,G5
0.015375,60.335289,G5
0.019417,27.032518,G5
0.019508,27.724827,G5
0.02997,33.358143,G6
0.015697,16.399914,G6
0.015816,16.156572,G6
0.015631,16.26786,G6
0.052611,25.080109,G6
0.016834,15.414824,G6
0.018884,13.936198,G6
0.016977,15.344725,G6
0.033821,14.859858,G6
0.01103,24.223589,G6
0.013018,30.709044,G7
0.011292,61.148945,G7
0.012412,29.931185,G7
0.011606,57.964828,G7
0.011732,58.989616,G7
0.011921,31.577063,G7
0.011871,57.580097,G7
0.011567,57.93148,G7
0.050177,114.413979,G7
0.046378,106.343872,G7
0.012986,20.997494,G8
0.011998,22.975052,G8
0.012695,21.786654,G8
0.012879,21.023575,G8
0.013162,20.612978,G8
0.012941,20.881372,G8
0.01283,21.139162,G8
0.012804,21.055159,G8
0.013011,20.682329,G8
0.013227,20.561441,G8
0.009618,8.656054,G9
0.00954,8.596058,G9
0.009611,8.835953,G9
0.009665,8.444284,G9
0.009683,8.210151,G9
0.009614,9.262285,G9
0.009669,9.08777,G9
0.009657,9.200364,G9
0.009594,8.893003,G9
0.009706,8.345312,G9
