@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,6,12'

@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1.333848,26.204308,G8
1.297401,24.79183,G8
1.376521,24.118744,G8
1.322932,25.001337,G8
1.304092,25.581793,G8
1.124813,28.661814,G8
0.758516,47.382343,G8
0.769346,48.159908,G8
0.725014,47.962708,G8
1.133924,29.155731,G8
1.27794,9.527705,G9
1.179577,8.633718,G9
1.170372,8.977702,G9
1.182465,8.315694,G9
0.869348,15.491269,G9
1.150829,9.337612,G9
1.1299,9.314081,G9
1.166982,9.637558,G9
1.185761,9.212627,G9
0.952632,15.011228,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.874282,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1.167571,36.431053,G0
1.122981,23.114275,G0
1.076474,23.020868,G0
0.998972,24.162859,G0
1.236716,19.540651,G0
1.040268,24.14156,G0
1.013315,24.249035,G0
1.02419,24.816206,G0
1.021352,26.016773,G0
1.121071,21.662022,G0
0.840151,1,G2
1.344259,15.263703,G2
0.885657,1,G2
0.881814,1,G2
1.27485,15.096219,G2
0.8538,1,G2
0.879004,1,G2
0.85692,1,G2
0.880106,1,G2
0.900084,1,G2
0.726551,1,G3
0,0,G3
0.956751,1,G3
0.962371,1,G3
0.680975,1,G3
0.709663,1,G3
1.009762,39.014492,G3
0.908979,18.054581,G3
0.728388,1,G3
0.696982,1,G3
1.053698,64.775955,G4
0.976454,72.325745,G4
1.001867,70.673332,G4
0.959754,64.577225,G4
0.94222,66.82843,G4
1.444253,16.852362,G4
0.888666,65.615578,G4
0.90677,64.435852,G4
1.630031,16.912418,G4
1.141769,64.698387,G4
0.946597,36.208942,G5
0.925658,36.89492,G5
0.927572,36.415234,G5
1.199853,16.216082,G5
0.83953,36.463387,G5
0.885411,37.810131,G5
0.941837,36.321648,G5
1.144473,24.371956,G5
1.293859,27.792711,G5
1.377801,14.700775,G5
1.036278,17.659349,G6
0.94036,19.670391,G6
0.906906,19.213182,G6
0.87662,18.47349,G6
0.952347,17.66643,G6
0.959195,17.778664,G6
0.923365,18.257576,G6
0.89911,18.060453,G6
0.919454,18.270853,G6
0.956043,18.136511,G6
0.825058,32.165939,G7
0.78721,72.363976,G7
0.813854,72.157265,G7
0.843,37.974739,G7
0.827463,34.760662,G7
0.790766,31.771627,G7
0.73595,62.205849,G7
0.795184,63.946724,G7
0.796316,61.445362,G7
0.783412,32.17403,G7
1.268532,22.847958,G8
1.550729,23.77964,G8
1.598437,23.986782,G8
1.461919,24.346552,G8
1.361272,25.855455,G8
1.388609,25.085857,G8
1.454884,24.079029,G8
1.496487,24.72452,G8
1.535446,24.11879,G8
1.068791,38.858223,G8
1.427015,7.614478,G9
1.413689,8.807951,G9
1.36548,8.681292,G9
1.483501,6.667328,G9
1.304054,8.828945,G9
1.361284,9.387129,G9
1.341811,10.185197,G9
1.319125,8.834447,G9
1.343428,7.174205,G9
1.295975,8.426088,G9
-1.17359,35.591549,G1
0,0,G1
-0.706407,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.736359,24.088034,G0
1.034234,23.128529,G0
0.983857,23.32196,G0
0.9458,34.513943,G0
0.949965,23.88064,G0
0.97247,24.340282,G0
1.031809,24.066637,G0
0.913151,35.845936,G0
0.924732,35.715801,G0
0.702197,24.617819,G0
4.437551,52.631523,G2
0,0,G2
0,0,G2
-0.500419,1,G2
0,0,G2
-0.790939,1,G2
0.648214,1,G2
0.695994,1,G2
0.680582,1,G2
0.662175,1,G2
0.73561,1,G3
1.139866,33.151272,G3
0,0,G3
0.883641,1,G3
0.879319,1,G3
0.833071,1,G3
0.845208,1,G3
0.860605,1,G3
0.841087,1,G3
0.755256,1,G3
1.53506,10.288001,G4
1.391002,57.404831,G4
1.564538,12.263541,G4
1.238433,55.730202,G4
1.116702,58.169212,G4
1.072066,52.200359,G4
1.131225,52.062038,G4
2.852303,61.852562,G4
1.283077,51.770668,G4
3.320397,63.384914,G4
0.714377,26.076427,G5
0.945916,27.277973,G5
0.900844,27.534216,G5
0.891132,27.582676,G5
0.813929,26.975546,G5
0.809435,26.07238,G5
0.792402,28.225647,G5
2.213762,60.335289,G5
0.836541,27.032518,G5
0.741945,27.724827,G5
1.581077,33.358143,G6
0.827264,16.399914,G6
0.760551,16.156572,G6
0.568608,16.26786,G6
1.883136,25.080109,G6
0.792017,15.414824,G6
0.799378,13.936198,G6
0.839703,15.344725,G6
0.638898,14.859858,G6
0.877654,24.223589,G6
1.032663,30.709044,G7
0.723627,61.148945,G7
0.696,29.931185,G7
0.817296,57.964828,G7
0.748672,58.989616,G7
0.633878,31.577063,G7
1.066187,57.580097,G7
1.006429,57.93148,G7
4.407277,114.413979,G7
4.139905,106.343872,G7
1.104342,20.997494,G8
1.251412,22.975052,G8
1.173207,21.786654,G8
1.148731,21.023575,G8
1.155998,20.612978,G8
1.043317,20.881372,G8
0.956007,21.139162,G8
1.040511,21.055159,G8
1.111945,20.682329,G8
1.013234,20.561441,G8
1.157735,8.656054,G9
1.255594,8.596058,G9
1.184164,8.835953,G9
1.250833,8.444284,G9
1.220477,8.210151,G9
1.088166,9.262285,G9
1.085197,9.08777,G9
1.063287,9.200364,G9
1.087691,8.893003,G9
1.177329,8.345312,G9
