@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,6,194-199,200-263,328'

@attribute ratio numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute cellOccupancyNonZ1 numeric
@attribute cellOccupancyNonZ2 numeric
@attribute cellOccupancyNonZ3 numeric
@attribute cellOccupancyNonZ4 numeric
@attribute cellOccupancyNonZ5 numeric
@attribute cellOccupancyNonZ6 numeric
@attribute cellOccupancyNonZ7 numeric
@attribute cellOccupancyNonZ8 numeric
@attribute cellOccupancyNonZ9 numeric
@attribute cellOccupancyNonZ10 numeric
@attribute cellOccupancyNonZ11 numeric
@attribute cellOccupancyNonZ12 numeric
@attribute cellOccupancyNonZ13 numeric
@attribute cellOccupancyNonZ14 numeric
@attribute cellOccupancyNonZ15 numeric
@attribute cellOccupancyNonZ16 numeric
@attribute cellOccupancyNonZ17 numeric
@attribute cellOccupancyNonZ18 numeric
@attribute cellOccupancyNonZ19 numeric
@attribute cellOccupancyNonZ20 numeric
@attribute cellOccupancyNonZ21 numeric
@attribute cellOccupancyNonZ22 numeric
@attribute cellOccupancyNonZ23 numeric
@attribute cellOccupancyNonZ24 numeric
@attribute cellOccupancyNonZ25 numeric
@attribute cellOccupancyNonZ26 numeric
@attribute cellOccupancyNonZ27 numeric
@attribute cellOccupancyNonZ28 numeric
@attribute cellOccupancyNonZ29 numeric
@attribute cellOccupancyNonZ30 numeric
@attribute cellOccupancyNonZ31 numeric
@attribute cellOccupancyNonZ32 numeric
@attribute cellOccupancyNonZ33 numeric
@attribute cellOccupancyNonZ34 numeric
@attribute cellOccupancyNonZ35 numeric
@attribute cellOccupancyNonZ36 numeric
@attribute cellOccupancyNonZ37 numeric
@attribute cellOccupancyNonZ38 numeric
@attribute cellOccupancyNonZ39 numeric
@attribute cellOccupancyNonZ40 numeric
@attribute cellOccupancyNonZ41 numeric
@attribute cellOccupancyNonZ42 numeric
@attribute cellOccupancyNonZ43 numeric
@attribute cellOccupancyNonZ44 numeric
@attribute cellOccupancyNonZ45 numeric
@attribute cellOccupancyNonZ46 numeric
@attribute cellOccupancyNonZ47 numeric
@attribute cellOccupancyNonZ48 numeric
@attribute cellOccupancyNonZ49 numeric
@attribute cellOccupancyNonZ50 numeric
@attribute cellOccupancyNonZ51 numeric
@attribute cellOccupancyNonZ52 numeric
@attribute cellOccupancyNonZ53 numeric
@attribute cellOccupancyNonZ54 numeric
@attribute cellOccupancyNonZ55 numeric
@attribute cellOccupancyNonZ56 numeric
@attribute cellOccupancyNonZ57 numeric
@attribute cellOccupancyNonZ58 numeric
@attribute cellOccupancyNonZ59 numeric
@attribute cellOccupancyNonZ60 numeric
@attribute cellOccupancyNonZ61 numeric
@attribute cellOccupancyNonZ62 numeric
@attribute cellOccupancyNonZ63 numeric
@attribute cellOccupancyNonZ64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.010064,0.955239,27.468975,0.013298,0.020774,0.01771,0.0402,0.011001,0,0,0,0,270,1313,0,0,0,0,0,0,1121,2263,1259,8,0,0,0,213,3477,3600,3600,547,0,0,0,1669,3591,3600,3600,356,0,0,427,3576,3600,3600,3600,780,0,0,107,3359,3600,3600,3265,274,0,0,0,3170,3600,3600,1496,0,0,0,0,963,2294,2201,213,0,0,G0
0.011507,1.007363,21.126677,0.024153,0.020955,0.014705,0.030965,0,0,0,0,0,395,1222,0,0,0,0,0,0,1874,3014,881,0,0,0,0,780,3595,3600,3520,0,0,0,0,1543,3600,3600,3264,0,0,0,0,3382,3600,3600,3542,0,0,0,0,2343,3600,3600,2769,0,0,0,0,3355,3600,3600,849,0,0,0,0,1745,2400,2262,27,0,0,G0
0.009828,0.734132,27.943962,0.030598,0.258903,0.100302,0.057631,0,0,20,945,381,0,0,0,0,0,158,2732,3573,3181,2110,1595,1452,1204,766,1107,1139,2162,3582,3600,3600,2400,1300,2617,3313,3600,3600,3600,3591,2400,0,0,0,2081,3600,3600,3600,2400,0,0,0,902,3092,3591,3301,1643,0,0,622,2818,2531,456,0,0,0,0,691,758,0,0,0,0,G0
1,-0.357227,1,0.018569,0.071678,0.020786,0.017987,0,0,0,0,0,0,0,1416,1756,0,0,0,0,0,692,3571,2769,0,0,110,1438,2081,3395,3600,1391,0,0,2093,3600,3600,3600,3600,2268,0,0,1847,3600,3600,3600,3600,887,0,0,413,3379,3600,3600,3600,1142,0,0,0,1658,3600,3508,1547,134,0,0,0,709,2320,1032,0,375,0,G2
1,-0.078084,1,0.140894,0.125338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,543,0,0,0,0,297,851,3053,3233,581,1148,2487,2912,3444,3599,3600,3600,2075,1016,1238,1227,3233,3600,3600,3600,2400,0,0,0,958,3451,3562,3600,2203,0,0,0,0,879,1093,1269,194,0,0,0,0,0,0,0,0,G2
1,-0.18588,1,0.129164,0.12779,0.029446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,703,0,149,537,669,915,1229,3182,3257,433,1692,2974,3268,3600,3600,3596,3598,1791,0,0,106,3008,3600,3577,3568,2330,0,0,0,971,3443,3145,3600,2400,0,0,0,0,893,1160,1129,1005,0,0,0,0,0,0,0,0,G2
1,-0.085474,1,0.1406,0.087538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,641,0,0,0,13,664,1506,3193,3540,1160,1151,2829,3388,3600,3600,3536,3600,2400,725,1006,399,3183,3600,3600,3600,2400,0,0,0,1225,3483,3504,3600,2237,0,0,0,0,1099,1265,1270,95,0,0,0,0,0,0,0,0,G2
1,-0.179387,1,0.162,0.114211,0.011574,0.049441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1568,0,175,1095,1108,1616,2370,2831,3053,620,1962,3163,3162,3594,3600,3600,3600,2232,0,0,0,2864,3600,3600,3600,2400,0,0,0,773,3259,3405,3416,2400,0,0,0,0,1414,1544,1617,757,0,0,0,0,0,0,0,0,G2
1,-0.199327,1,0.103809,0.133311,0.019432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,365,0,224,766,882,651,879,3364,3401,411,1485,2675,3417,3586,3600,3453,3600,1909,0,0,333,3370,3600,3600,3600,2400,0,0,0,1438,3566,3497,3600,2400,0,0,0,0,254,1167,916,602,0,0,0,0,0,0,0,0,G2
1,-0.255902,1,0.149314,0.151135,0.015437,0.052946,0,0,0,0,0,0,0,121,231,0,0,0,0,11,0,1955,2421,0,1864,3299,3000,3173,2675,3321,3300,226,27,117,1116,3570,3600,3600,3600,1083,0,0,0,1718,3600,3600,3277,1878,0,0,0,205,3310,2878,3294,2400,0,0,0,0,320,1252,1533,2376,0,0,0,0,0,0,27,195,G2
1,-0.244464,1,0.012907,0.077361,0.110894,0.058243,0.009928,0,0,0,0,0,0,806,2026,5,0,329,433,413,255,3086,3395,100,1023,3599,3600,3583,3311,3520,1889,0,408,1624,3124,3600,3600,3600,3331,146,0,0,2494,3600,3600,3600,3072,602,0,0,1877,3600,3600,3600,3380,928,0,0,540,2522,3600,3512,1557,391,0,0,0,655,2219,942,477,737,G2
1,-0.125303,1,0.167769,0.074717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,3357,679,0,67,1127,2316,3126,3314,3566,2325,1492,3358,3411,3540,3600,3600,3581,2398,638,643,112,2859,3600,3600,3572,2395,0,0,0,632,3599,3600,3267,2355,0,0,0,0,1583,3246,2594,823,0,0,0,0,0,0,0,0,G2
1,-0.239968,1,0.012433,0.134572,0.110692,0.023881,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,1307,3387,111,1135,2217,2784,2930,3120,3124,3337,1219,807,1686,1676,3519,3600,3600,3600,2285,0,0,0,2701,3600,3600,3578,2392,0,0,0,590,3157,3586,3600,2400,0,0,0,0,1143,1859,2256,1720,0,0,0,0,0,0,0,45,G2
1,0.443697,1,0.010881,0.156986,0,0,0,0,0,0,541,1737,1853,1351,0,0,0,0,2183,3600,3600,3600,2465,256,0,0,2471,3600,3600,3600,3600,2052,0,0,2493,3600,3600,3600,3600,2100,0,0,1996,3600,3600,3600,3600,2100,0,0,2162,3600,3599,3600,3600,2100,843,2051,2842,3600,3600,3600,3172,981,1209,2378,2165,1003,1176,796,17,0,G3
0.027471,0.86226,8.558611,0.027166,0.183549,0,0,0,0,0,0,767,2194,1598,523,0,0,0,0,2290,3600,3600,3420,1136,0,0,0,2731,3600,3600,3600,3381,0,0,0,1821,3600,3600,3600,3420,0,0,0,1309,3600,3591,3600,3420,0,0,0,447,2796,3594,3600,3341,0,0,1082,2671,3412,2045,1795,401,0,0,2215,1551,220,0,0,0,0,G3
0.027034,0.750588,8.260798,0.030175,0.172338,0,0,0,0,0,0,1633,2231,1393,64,0,0,0,0,2049,3600,3600,3223,947,0,0,0,2751,3600,3600,3600,3447,448,0,0,1790,3600,3600,3600,3600,660,0,0,2490,3600,3554,3600,3600,660,0,0,1248,3522,3468,3600,3600,660,111,1258,2315,3464,3600,3600,3237,341,449,2387,2111,1049,578,1316,62,0,G3
0.027406,0.893559,6.617039,0.028436,0.182982,0,0,0,0,0,0,21,850,1742,715,3,0,0,0,1664,3600,3600,3600,2266,133,0,0,1575,3600,3600,3600,3600,720,0,0,1150,3600,3600,3600,3600,720,0,0,1135,3600,3600,3582,3600,720,0,0,1280,3447,3591,3600,3504,593,46,1240,2900,3433,2524,1645,640,0,436,2380,1540,154,0,0,0,0,G3
1,0.517816,1,0.01147,0.010243,0.16252,0.016924,0,0,0,0,208,701,1182,122,0,0,0,0,1544,3274,3484,3519,1567,0,0,0,2057,3600,3600,3600,3593,1234,0,0,1653,3600,3600,3600,3600,2398,0,0,1694,3600,3600,3588,3600,2400,0,0,2048,3431,2830,3502,3600,2400,1218,2324,3244,3451,3600,3600,3118,1167,953,1530,1336,844,1270,512,6,0,G3
1,0.492226,1,0.014385,0.163219,0,0,0,0,0,0,149,1653,2055,1086,151,0,0,0,1935,3600,3600,3600,3122,777,0,0,1995,3600,3600,3600,3600,2400,0,0,1320,3600,3600,3600,3600,2400,0,0,1265,3600,3600,3600,3600,2400,0,0,2060,3598,3600,3600,3600,2386,986,2241,3251,3594,3600,3372,2020,570,1313,2054,1377,428,393,98,0,0,G3
1,0.483866,1,0.177307,0,0,0,0,0,0,0,0,18,271,0,0,0,0,0,758,2874,3366,3027,1629,0,0,0,886,3600,3600,3599,3566,1347,0,0,956,3590,3600,3600,3600,2400,0,0,823,3562,3600,3600,3600,2400,0,0,1945,3600,3600,3600,3600,2400,1504,2874,3530,3600,3600,3528,3129,1393,251,540,526,178,484,116,0,0,G3
0.032967,0.967046,6.362509,0.159503,0.010071,0,0,0,0,0,0,474,1168,1094,466,0,0,0,0,1965,3600,3600,3588,2007,2,0,0,2306,3600,3600,3600,3600,1617,0,0,2193,3600,3600,3600,3600,2400,0,0,1551,3600,3600,3600,3600,2400,0,0,1942,3600,3600,3600,3600,2400,1462,2520,3092,3600,3600,3600,3596,2368,777,1738,1749,1653,1920,1712,1033,149,G3
1,0.502763,1,0.009102,0.157689,0,0,0,0,0,0,639,1265,1887,690,24,0,0,0,1985,3600,3600,3600,1760,0,0,0,2625,3600,3600,3600,3521,869,0,0,1595,3600,3600,3600,3600,1791,0,18,2622,3600,3600,3600,3599,1800,0,0,1755,3600,2755,3516,3600,1800,600,1575,2880,3600,3597,3600,3463,969,1116,2271,1885,1675,1120,910,182,49,G3
1,0.51584,1,0.016446,0.167383,0,0,0,0,0,0,25,1565,1991,1059,0,0,0,0,1206,3600,3576,3600,1922,10,0,0,2225,3600,3600,3600,3600,120,0,0,1169,3600,3600,3600,3600,120,0,0,1144,3597,3600,3581,3552,120,0,0,814,3600,3087,3442,3600,120,12,1072,1989,3555,3573,3318,1653,20,100,2389,2113,966,224,0,0,0,G3
0.017313,0.00827,16.562922,0.1573,0.285353,0,0,0,0,0,0,0,0,550,1030,0,0,0,0,0,0,800,3382,498,0,0,0,0,0,0,2100,2930,78,832,2053,2021,2062,2253,2877,3600,1657,760,1809,1871,2940,3600,3600,3600,1920,0,0,0,1583,3596,3600,3600,1920,0,0,0,1121,3596,3600,3600,1920,0,0,0,133,2072,2165,2007,433,G4
0.012781,-0.44694,50.63102,0.032,0.214876,0,0,0,0,0,0,0,94,1759,0,0,0,0,0,0,105,3548,528,0,0,0,0,0,3,2311,2038,0,0,0,0,483,1826,3011,3176,0,0,0,0,1266,3468,3600,3240,0,0,0,0,1501,3600,3600,3240,0,0,0,0,150,3473,3600,3219,0,0,0,0,0,1448,2332,973,0,0,G4
0.011889,-0.455291,55.133663,0.166258,0.292168,0.033218,0,0,0,0,0,0,0,37,1878,4,0,0,0,0,0,0,3328,1050,0,62,1623,1203,289,171,1587,3009,15,76,1626,2559,3466,3540,3509,3600,180,0,0,0,1726,3600,3600,3600,180,0,0,0,1583,3593,3600,3600,180,0,0,0,1001,3504,3476,3536,180,0,0,0,0,70,542,668,114,G4
0.016734,-0.073055,17.029902,0.156492,0.293147,0.045469,0,0,0,0,0,0,0,358,1441,0,0,0,0,0,0,205,3148,306,0,186,2487,1788,977,763,2468,2529,0,0,478,1612,3218,3600,3600,3569,253,0,0,0,1706,3600,3600,3600,420,0,0,0,568,3600,3556,3600,420,0,0,0,54,1549,1999,2795,420,0,0,0,0,0,0,151,231,G4
0.01771,0.004683,16.374195,0.185808,0.305327,0.011728,0.014261,0,0,0,0,0,0,21,2162,152,0,0,0,0,0,0,2787,1711,0,190,356,78,0,0,781,3453,685,1506,3244,3600,3266,3150,3259,3600,2034,0,0,235,2477,3600,3600,3600,2040,0,0,0,932,3569,3594,3600,2040,0,0,0,66,3243,3600,3600,2040,0,0,0,0,1178,1694,1533,1082,G4
0.017813,0.010504,15.88985,0.186438,0.295783,0,0,0,0,0,0,0,0,39,1651,0,0,0,0,0,0,278,3206,1447,0,0,0,0,0,0,1244,3451,844,1780,3188,2928,2643,2863,3170,3600,2257,102,319,908,2743,3600,3600,3600,2400,0,0,0,1438,3550,3600,3600,2400,0,0,0,93,3242,3600,3600,2400,0,0,0,19,1772,1921,2060,994,G4
0.017429,0.036607,16.279348,0.192655,0.29649,0,0,0,0,0,0,0,0,157,1039,0,0,0,0,0,0,334,3437,670,0,0,0,0,0,0,1773,3077,489,912,2198,2342,2122,2237,2671,3600,2185,900,1521,1706,2902,3600,3600,3600,2400,0,0,0,1581,3547,3600,3600,2400,0,0,0,79,2743,3600,3600,2398,0,0,0,0,1421,1574,1678,382,G4
0.017021,-0.058973,16.642817,0.173809,0.308814,0.022174,0,0,0,0,0,0,0,132,1659,0,0,0,0,0,0,131,3118,867,0,156,510,341,8,0,1205,3347,427,1098,3042,3544,3157,3104,3292,3600,1690,0,0,222,2343,3600,3600,3600,1800,0,0,0,596,3503,3600,3600,1800,0,0,0,0,2817,3600,3600,1800,0,0,0,0,466,1603,1142,499,G4
0.017078,-0.015395,16.67091,0.189166,0.317006,0.014971,0,0,0,0,0,0,0,144,1393,0,0,0,0,0,0,87,3380,689,0,0,0,0,0,0,1578,3036,357,728,2633,2420,2276,2220,2844,3600,1299,250,1000,1634,2486,3600,3600,3600,1320,0,0,0,720,3279,3600,3600,1320,0,0,0,173,3449,3600,3600,1320,0,0,0,27,1866,2002,1933,376,G4
0.011987,-0.220726,55.099251,0.167021,0.27834,0.012753,0,0,0,0,0,0,0,542,1552,0,0,0,0,0,0,699,3521,905,0,0,0,0,0,0,2021,3372,783,427,1435,2090,1954,2642,3420,3600,1620,1090,2438,1951,3203,3600,3600,3600,1620,0,0,0,1597,3581,3600,3600,1620,0,0,0,208,3356,3600,3600,1620,0,0,0,92,1793,2052,1338,315,G4
0.019279,0.189658,27.466497,0.143564,0.204107,0.056069,0.020034,0.013307,0,0,0,0,0,0,0,0,0,1373,2184,1626,579,344,496,637,0,888,2374,3416,3600,3594,3595,3094,325,0,0,379,3173,3600,3597,3529,423,556,1693,3427,3517,3580,3413,3600,2400,1775,2607,1564,267,1567,3529,3538,1683,0,0,0,0,359,2101,1118,128,0,0,0,0,0,0,0,0,G5
0.019031,0.319402,27.646662,0.142247,0.183808,0.043198,0.02266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,86,0,707,1659,2178,1747,2585,3011,3353,983,1185,1738,1599,3336,3600,3600,3556,2400,0,812,2396,3422,3511,3596,3600,2241,1167,3096,1633,133,882,2647,1531,255,54,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5
0.018852,0.259142,27.798517,0.139944,0.178876,0.033257,0.01347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,964,2057,2281,1960,2573,2936,3181,874,597,1300,1677,3250,3600,3600,3600,2400,55,1354,2632,3263,3385,3600,3600,2390,1678,2582,1378,145,1230,2713,2163,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5
0.018789,0.100846,27.890408,0.140996,0.172593,0.062085,0.028675,0,0,0,0,0,0,0,0,0,0,145,491,68,0,0,0,0,0,810,2880,3316,2267,1992,1657,2152,150,0,32,850,2970,3600,3600,3287,1772,1637,3373,3393,2767,3506,3600,3600,2400,125,55,22,0,1670,3453,3289,2213,0,0,0,0,23,389,0,163,0,0,0,0,0,0,0,0,G5
0.019128,0.283289,27.676783,0.144732,0.183262,0.031079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,2828,2780,2339,2505,3124,3100,1060,220,696,1238,3042,3600,3600,3589,2400,364,1795,3166,3222,3187,3600,3592,2361,1611,1978,950,39,817,2661,2327,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5
0.018975,0.220504,27.788082,0.12506,0.200659,0.026049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,3015,2962,2322,2882,3178,3007,579,32,189,954,3258,3600,3600,3600,2347,176,1624,2971,3441,3232,3597,3600,2363,1805,2499,1334,144,1440,3332,2758,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5
0.018805,0.07513,27.94903,0.169019,0.218115,0.065598,0.023722,0.012479,0,0,0,0,0,0,0,0,0,1047,2349,1373,352,0,0,0,0,256,1541,2892,3316,2632,2214,2248,59,0,8,534,2218,3600,3598,3353,158,1871,3334,3483,3398,3600,3600,3594,2188,377,317,39,20,1675,3296,3591,2400,0,0,0,0,399,2317,1198,898,0,0,0,0,0,0,0,0,G5
0.018422,-0.022152,28.034847,0.105003,0.130182,0.080455,0.012551,0.041911,0,0,0,0,0,0,0,0,0,1062,2160,872,8,0,0,0,0,42,963,2954,2749,2149,2890,1579,0,1458,2651,2675,3502,3501,3600,3597,427,335,681,994,1597,3571,3551,3599,2033,0,0,0,85,2055,2815,2931,2400,0,0,0,0,0,0,353,1498,0,0,0,0,0,0,0,0,G5
0.019224,0.04532,27.223623,0.137652,0.168731,0.080121,0.021582,0,0,0,0,0,0,0,0,0,0,735,1470,479,0,0,0,0,0,420,1938,3256,2426,1941,1607,1791,121,166,830,1273,2967,3600,3597,3600,1891,1717,2830,3083,2641,3600,3600,3588,2193,0,0,0,90,2543,3406,3600,2400,0,0,0,0,447,1234,736,804,0,0,0,0,0,0,0,0,G5
0.018755,0.025468,27.652082,0.118107,0.159193,0.052743,0.011547,0.024244,0,0,0,0,0,0,0,0,0,650,1723,918,19,0,0,0,0,128,1606,3114,2856,2381,1996,2042,175,120,716,1335,3439,3600,3600,3569,1506,1755,3110,2973,2894,3499,3600,3600,1695,0,0,0,262,3326,3597,3547,2321,0,0,0,0,524,1750,831,1031,0,0,0,0,0,0,0,0,G5
0.015212,0.322959,17.168375,0.014306,0.00727,0.017259,0.009271,0,0,0,5,757,81,0,0,0,0,0,1418,3600,3278,1743,910,250,0,525,3129,3600,3600,3595,3600,3461,590,1263,3600,3600,3600,3600,3600,3600,1973,1960,3600,3600,3600,3600,3600,3600,2329,897,3600,3600,3600,3600,3600,3600,729,213,2675,3600,3600,3218,3564,3432,394,0,5,634,601,64,249,549,0,G6
0.015099,0.248405,17.378466,0.023089,0.061029,0.086183,0.035217,0.011999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2742,3213,2489,1898,1877,2115,477,828,1728,1931,3237,3600,3600,3600,2293,802,1640,2494,3432,3600,3600,3600,2400,0,1314,2315,2139,3128,2999,2427,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G6
0.015395,0.340859,17.14905,0.027329,0.079928,0.085055,0.014398,0,0,0,0,0,0,0,0,0,0,0,210,240,44,0,94,126,124,208,2829,3252,3519,3274,3472,3456,2398,789,1673,2207,2838,3600,3600,3600,2400,1238,1749,1949,2455,3600,3600,3588,2400,0,1402,3377,2868,2429,3393,2778,1120,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,G6
0.015289,0.420885,17.237867,0.024464,0.07039,0.076937,0.021663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,96,0,481,2102,2564,2336,2703,3491,3501,1638,230,1670,2085,3151,3600,3600,3577,2400,1697,2922,2425,3140,3600,3600,3600,1753,0,1069,2975,2620,2669,2508,1104,0,0,60,78,0,0,0,0,0,0,0,0,0,0,0,0,0,G6
0.015566,0.329623,16.897444,0.025556,0.07714,0.095921,0.025799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,240,2919,3090,2611,2779,3473,3545,1258,200,932,1841,2986,3600,3600,3600,2400,1851,2538,2325,2934,3600,3600,3600,2099,0,215,3035,2744,2524,2784,1546,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G6
0.015577,0.270949,16.801483,0.021666,0.067919,0.105911,0.037902,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,38,2903,3264,2748,2253,3302,3081,889,234,1085,1516,2873,3600,3600,3600,2392,1600,2472,2676,2799,3578,3600,3600,2400,0,78,3196,2801,2936,2950,2262,521,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,G6
0.015452,0.288639,16.922415,0.02376,0.070114,0.090482,0.039695,0.011587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,3389,2692,2428,2694,3078,878,270,1065,1844,3072,3600,3600,3600,2343,1608,2676,2411,2659,3597,3600,3600,2369,0,708,3093,2643,2938,2863,1907,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G6
0.015818,0.044501,16.54907,0.021494,0.026509,0.089368,0.072428,0.043881,0,0,0,0,0,0,0,0,0,0,1191,1103,4,0,0,0,0,119,617,2331,2911,1596,1043,958,0,1565,3057,3307,3216,3600,3600,3512,414,0,1360,3456,3600,3600,3600,3600,2139,0,0,58,775,2599,3076,2905,2400,0,0,0,0,0,0,74,944,0,0,0,0,0,0,0,0,G6
0.01405,0.239615,18.471989,0.019044,0.08842,0.068248,0.035666,0.013273,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,339,2678,3190,2321,1581,1422,1282,317,1518,2463,2496,3137,3600,3513,3600,2366,296,1314,1826,3095,3600,3560,3600,2400,852,2742,2789,2970,3600,3600,3362,1454,0,0,0,86,420,370,23,0,0,0,0,0,0,0,0,0,G6
0.014772,0.244437,17.622847,0.01849,0.060975,0.07506,0.043259,0.020492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2836,2821,1817,1076,1282,1230,129,1026,1680,2299,3432,3580,3600,3600,2085,671,1712,2639,3387,3600,3588,3600,2400,64,2387,2521,2461,3462,3364,2508,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G6
0.011602,1.347333,72.201683,0.333564,0.017946,0,0,0,0,0,443,1551,2156,1880,1349,110,0,0,1107,2037,2802,3600,3600,2039,0,0,0,394,3067,3600,3600,2100,0,0,0,473,3182,3600,3600,2100,0,0,0,0,929,3482,3600,2100,0,0,0,0,0,1258,3477,900,0,0,0,0,0,1771,1300,0,0,0,0,0,21,2069,7,0,0,G7
0.010613,1.202937,72.33197,0.360163,0.019022,0,0,0,0,0,655,1834,2190,1880,722,0,0,0,314,1700,2195,3600,3586,1288,0,0,0,548,2845,3600,3600,1440,0,0,0,775,3516,3600,3600,1440,0,0,0,0,1680,3544,3301,1440,0,0,0,0,128,2712,2836,428,0,0,0,0,1164,2694,150,0,0,0,0,0,1919,180,0,0,0,G7
0.010653,1.145428,73.953262,0.350475,0.021205,0,0,0,0,0,1001,1668,1421,958,139,0,0,0,378,2030,2613,3600,3336,1122,0,0,0,767,2737,3573,3600,1860,0,0,0,715,3448,3600,3600,1860,0,0,0,0,1989,3600,3516,1860,0,0,0,0,142,2556,3377,1213,0,0,0,0,465,2972,456,0,0,0,0,0,1783,588,0,0,0,G7
0.010793,1.153348,72.239662,0.39436,0.020986,0.0208,0,0,0,0,619,1554,1286,1645,256,0,0,0,242,1858,2596,3576,3400,992,0,0,0,276,2578,3582,3600,1500,0,0,0,354,3320,3600,3600,1500,0,0,0,0,1499,3600,3598,1500,0,0,0,0,67,2259,3370,727,0,0,0,0,314,2762,264,0,0,0,0,0,1565,690,0,0,0,G7
0.010667,1.182747,72.002129,0.346529,0.019163,0,0,0,0,0,402,2152,2022,2124,1173,123,0,0,147,1308,2369,3600,3600,720,0,0,0,548,3228,3498,3600,720,0,0,0,299,3265,3600,3600,720,0,0,0,0,1234,3600,3596,720,0,0,0,0,33,2305,2958,308,0,0,0,0,174,2770,252,0,0,0,0,0,1133,984,0,0,0,G7
0.010679,1.150035,71.816238,0.339114,0.019456,0,0,0,0,0,1120,2209,2330,2321,1717,353,0,0,400,1649,2328,3600,3600,1980,0,0,0,565,3379,3600,3600,1980,0,0,0,347,3299,3600,3600,1980,0,0,0,0,1004,3581,3600,1980,0,0,0,0,0,1519,3023,564,0,0,0,0,9,2532,601,0,0,0,0,0,445,1480,0,0,0,G7
0.010435,0.951274,72.34948,0.013156,0.299197,0,0,0,0,0,1984,2238,1987,1728,342,0,0,0,669,1943,2845,3600,3521,2220,0,0,0,2373,3341,3600,3600,3060,0,0,0,2424,3600,3600,3600,3060,0,0,0,642,3504,3600,3600,3060,0,0,0,0,1532,3500,3498,1934,0,0,0,117,2171,2666,653,0,0,0,0,1546,1658,21,0,0,0,G7
0.010907,0.945516,72.178688,0.284505,0.012597,0.018402,0,0,0,0,1520,2336,1565,747,91,0,0,0,386,2039,3343,3600,3363,1112,0,0,0,1290,3414,3600,3600,2400,0,0,0,1327,3600,3600,3600,2400,0,0,0,193,2868,3600,3600,2400,0,0,0,0,1398,3600,3600,2400,0,0,0,0,725,3224,1957,112,0,0,0,226,2219,671,0,0,0,G7
0.012078,0.999471,70.320694,0.01689,0.198653,0,0,0,0,0,1262,2196,901,67,0,0,0,0,518,2487,3560,3406,1744,39,0,0,0,1314,3268,3600,3600,1909,0,0,0,1883,3600,3600,3600,2160,0,0,0,1144,3600,3600,3594,2160,0,0,0,886,3522,3565,3511,2160,0,0,0,9,2348,3477,2654,693,0,0,0,735,1832,37,0,0,0,G7
0.012448,1.297328,71.736969,0.042226,0.27147,0,0,0,0,0,272,2136,873,115,0,0,0,0,25,1353,3106,3260,1220,0,0,0,0,837,2784,3600,3581,468,0,0,0,1793,3600,3600,3600,540,0,0,0,1313,3600,3596,3600,540,0,0,0,379,2791,3600,3469,393,0,0,0,299,2653,1460,279,0,0,0,0,1347,308,0,0,0,0,G7
